"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,25,-223.141264547523,1,"1"
"2",2,2,0,100,25,-202.110048626292,1,"2"
"3",2,2,0,100,25,-162.387960094435,1,"3"
"4",2,2,0,100,25,-187.28484629312,1,"4"
"5",2,2,0,100,25,-163.170643134973,1,"5"
"6",2,2,0,100,25,-147.901279052827,1,"6"
"7",2,2,0,100,25,-173.811340439674,1,"7"
"8",2,2,0,100,25,-153.77953483062,1,"8"
"9",2,2,0,100,25,-150.25616377002,1,"9"
"10",2,2,0,100,25,-175.479647858287,1,"10"
"11",2,2,0,100,25,-140.031963410996,1,"11"
"12",2,2,0,100,25,-149.838296665952,1,"12"
"13",2,2,0,100,25,-157.130936627053,1,"13"
"14",2,2,0,100,25,-161.284400415226,1,"14"
"15",2,2,0,100,25,-142.398358061278,1,"15"
"16",2,2,0,100,25,-148.566624571399,1,"16"
"17",2,2,0,100,25,-151.505437725289,1,"17"
"18",2,2,0,100,25,-167.095764992851,1,"18"
"19",2,2,0,100,25,-138.072868647162,1,"19"
"20",2,2,0,100,25,-161.120229942614,1,"20"
"21",2,2,0,100,25,-185.553216142889,1,"21"
"22",2,2,0,100,25,-194.164704402863,1,"22"
"23",2,2,0,100,25,-168.372404135067,1,"23"
"24",2,2,0,100,25,-157.326654065887,1,"24"
"25",2,2,0,100,25,-158.040259570095,1,"25"
"26",3,2,0,100,25,-239.47231910871,1,"1"
"27",3,2,0,100,25,-218.883902308362,1,"2"
"28",3,2,0,100,25,-175.594663976278,1,"3"
"29",3,2,0,100,25,-202.807348918669,1,"4"
"30",3,2,0,100,25,-173.138180392621,1,"5"
"31",3,2,0,100,25,-154.906484735949,1,"6"
"32",3,2,0,100,25,-181.732527725826,1,"7"
"33",3,2,0,100,25,-158.745438654499,1,"8"
"34",3,2,0,100,25,-152.701167615058,1,"9"
"35",3,2,0,100,25,-178.842803144063,1,"10"
"36",3,2,0,100,25,-140.954876890304,1,"11"
"37",3,2,0,100,25,-148.293541488767,1,"12"
"38",3,2,0,100,25,-156.901451784026,1,"13"
"39",3,2,0,100,25,-161.231478361914,1,"14"
"40",3,2,0,100,25,-143.63290548785,1,"15"
"41",3,2,0,100,25,-149.045840960521,1,"16"
"42",3,2,0,100,25,-154.76475273775,1,"17"
"43",3,2,0,100,25,-172.119767725939,1,"18"
"44",3,2,0,100,25,-139.594834117319,1,"19"
"45",3,2,0,100,25,-166.160751428906,1,"20"
"46",3,2,0,100,25,-198.155775649119,1,"21"
"47",3,2,0,100,25,-210.186243934437,1,"22"
"48",3,2,0,100,25,-178.744380423772,1,"23"
"49",3,2,0,100,25,-164.046629950695,1,"24"
"50",3,2,0,100,25,-161.860426051375,1,"25"
"51",4,2,0,100,25,-243.608528571916,1,"1"
"52",4,2,0,100,25,-223.638932833468,1,"2"
"53",4,2,0,100,25,-177.577018897718,1,"3"
"54",4,2,0,100,25,-206.135938884689,1,"4"
"55",4,2,0,100,25,-173.339665660294,1,"5"
"56",4,2,0,100,25,-154.872230327716,1,"6"
"57",4,2,0,100,25,-182.757682886509,1,"7"
"58",4,2,0,100,25,-162.211141773771,1,"8"
"59",4,2,0,100,25,-157.341726648282,1,"9"
"60",4,2,0,100,25,-184.625392599583,1,"10"
"61",4,2,0,100,25,-142.308328852806,1,"11"
"62",4,2,0,100,25,-148.766445806271,1,"12"
"63",4,2,0,100,25,-157.135414317571,1,"13"
"64",4,2,0,100,25,-161.291629404826,1,"14"
"65",4,2,0,100,25,-144.721546158963,1,"15"
"66",4,2,0,100,25,-149.658123444798,1,"16"
"67",4,2,0,100,25,-155.597638704379,1,"17"
"68",4,2,0,100,25,-170.892554941743,1,"18"
"69",4,2,0,100,25,-139.373818635358,1,"19"
"70",4,2,0,100,25,-166.496184346472,1,"20"
"71",4,2,0,100,25,-198.791883426612,1,"21"
"72",4,2,0,100,25,-212.403840295649,1,"22"
"73",4,2,0,100,25,-180.580920242033,1,"23"
"74",4,2,0,100,25,-163.33205037111,1,"24"
"75",4,2,0,100,25,-160.868812807214,1,"25"
"76",5,2,0,100,25,-245.279829525146,1,"1"
"77",5,2,0,100,25,-226.276265071996,1,"2"
"78",5,2,0,100,25,-178.141762690067,1,"3"
"79",5,2,0,100,25,-207.243558742946,1,"4"
"80",5,2,0,100,25,-173.137594533428,1,"5"
"81",5,2,0,100,25,-155.112536944582,1,"6"
"82",5,2,0,100,25,-181.042965061424,1,"7"
"83",5,2,0,100,25,-163.909437720625,1,"8"
"84",5,2,0,100,25,-157.673264065812,1,"9"
"85",5,2,0,100,25,-186.912221818046,1,"10"
"86",5,2,0,100,25,-143.03392394908,1,"11"
