"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,32,-9265.29399189513,1,"1"
"2",2,2,0,100,32,-30820.9943599376,1,"2"
"3",2,2,0,100,32,-6931.76010296086,1,"3"
"4",2,2,0,100,32,-1564.25032297742,1,"4"
"5",2,2,0,100,32,-2630.20135861855,1,"5"
"6",2,2,0,100,32,-1592.8456736083,1,"6"
"7",2,2,0,100,32,-11256.0319809001,1,"7"
"8",2,2,0,100,32,-124.569787279057,1,"8"
"9",2,2,0,100,32,-343.117897925858,1,"9"
"10",2,2,0,100,32,-4052.82523830835,1,"10"
"11",2,2,0,100,32,-4399.07034968793,1,"11"
"12",2,2,0,100,32,-935.844363529554,1,"12"
"13",2,2,0,100,32,-2890.28137680521,1,"13"
"14",2,2,0,100,32,-2055.94484590827,1,"14"
"15",2,2,0,100,32,-1374.91468024532,1,"15"
"16",2,2,0,100,32,-119.236998154198,1,"16"
"17",2,2,0,100,32,-3226.08953851005,1,"17"
"18",2,2,0,100,32,-1640.72055595107,1,"18"
"19",2,2,0,100,32,-4561.14322075418,1,"19"
"20",2,2,0,100,32,-2791.28395656044,1,"20"
"21",2,2,0,100,32,-6065.79975346022,1,"21"
"22",2,2,0,100,32,-2715.49899495407,1,"22"
"23",2,2,0,100,32,-2465.78700234114,1,"23"
"24",2,2,0,100,32,-3.62513828201653,1,"24"
"25",2,2,0,100,32,-3863.84928410204,1,"25"
"26",2,2,0,100,32,-234.457643757655,1,"26"
"27",2,2,0,100,32,-1545.27465592066,1,"27"
"28",2,2,0,100,32,-1042.56530966715,1,"28"
"29",2,2,0,100,32,-200.315690391214,1,"29"
"30",2,2,0,100,32,-1743.25944507641,1,"30"
"31",2,2,0,100,32,-544.241145291593,1,"31"
"32",2,2,0,100,32,-4707.12289923148,1,"32"
"33",3,2,0,100,32,-8596.50160086358,1,"1"
"34",3,2,0,100,32,-31134.0543458078,1,"2"
"35",3,2,0,100,32,-7161.88635409746,1,"3"
"36",3,2,0,100,32,-3876.93570816727,1,"4"
"37",3,2,0,100,32,-13183.9067137195,1,"5"
"38",3,2,0,100,32,-7448.00042481453,1,"6"
"39",3,2,0,100,32,-40254.3104982527,1,"7"
"40",3,2,0,100,32,-132.909535914482,1,"8"
"41",3,2,0,100,32,-560.082952237456,1,"9"
"42",3,2,0,100,32,-15191.0723636313,1,"10"
"43",3,2,0,100,32,-17566.0104027776,1,"11"
"44",3,2,0,100,32,-875.586398696828,1,"12"
"45",3,2,0,100,32,-2428.7196187325,1,"13"
"46",3,2,0,100,32,-1066.29707845376,1,"14"
"47",3,2,0,100,32,-795.681791739651,1,"15"
"48",3,2,0,100,32,-113.760328819495,1,"16"
"49",3,2,0,100,32,-1634.42583660077,1,"17"
"50",3,2,0,100,32,-1107.4664824609,1,"18"
"51",3,2,0,100,32,-2991.23247127707,1,"19"
"52",3,2,0,100,32,-1576.07639163063,1,"20"
"53",3,2,0,100,32,-3305.82947317947,1,"21"
"54",3,2,0,100,32,-1725.45803338404,1,"22"
"55",3,2,0,100,32,-1559.66387909393,1,"23"
"56",3,2,0,100,32,-2.8525232405576,1,"24"
"57",3,2,0,100,32,-2393.96569757023,1,"25"
"58",3,2,0,100,32,-172.990913396898,1,"26"
"59",3,2,0,100,32,-956.440796777688,1,"27"
"60",3,2,0,100,32,-645.183829535811,1,"28"
"61",3,2,0,100,32,-154.147353029374,1,"29"
"62",3,2,0,100,32,-1117.71519693307,1,"30"
"63",3,2,0,100,32,-373.300018304948,1,"31"
"64",3,2,0,100,32,-2967.64488194266,1,"32"
"65",4,2,0,100,32,-8551.26039968721,1,"1"
"66",4,2,0,100,32,-35134.4034948472,1,"2"
"67",4,2,0,100,32,-8079.34080547796,1,"3"
"68",4,2,0,100,32,-4218.28157283349,1,"4"
"69",4,2,0,100,32,-14094.7342671059,1,"5"
"70",4,2,0,100,32,-7890.0521501629,1,"6"
"71",4,2,0,100,32,-41682.265419793,1,"7"
"72",4,2,0,100,32,-138.236632792701,1,"8"
"73",4,2,0,100,32,-577.68784446977,1,"9"
"74",4,2,0,100,32,-15265.8672348992,1,"10"
"75",4,2,0,100,32,-17649.5158523997,1,"11"
"76",4,2,0,100,32,-927.511229330876,1,"12"
"77",4,2,0,100,32,-2733.24721272369,1,"13"
"78",4,2,0,100,32,-1324.81898903547,1,"14"
"79",4,2,0,100,32,-851.424969476355,1,"15"
"80",4,2,0,100,32,-122.796513546669,1,"16"
"81",4,2,0,100,32,-1572.89307217369,1,"17"
"82",4,2,0,100,32,-1087.71449861306,1,"18"
"83",4,2,0,100,32,-2887.33329352112,1,"19"
"84",4,2,0,100,32,-1493.37599495464,1,"20"
"85",4,2,0,100,32,-3073.96146649279,1,"21"
"86",4,2,0,100,32,-1696.34416584665,1,"22"
"87",4,2,0,100,32,-1537.32721591098,1,"23"
"88",4,2,0,100,32,-2.85669684357993,1,"24"
"89",4,2,0,100,32,-2406.48004719192,1,"25"
"90",4,2,0,100,32,-173.167010465941,1,"26"
"91",4,2,0,100,32,-955.345919066035,1,"27"
"92",4,2,0,100,32,-638.907526216313,1,"28"
"93",4,2,0,100,32,-152.355663603265,1,"29"
"94",4,2,0,100,32,-1093.49938578,1,"30"
"95",4,2,0,100,32,-366.706982821471,1,"31"
"96",4,2,0,100,32,-2906.3894202506,1,"32"
"97",5,2,0,100,32,-8596.80302046659,1,"1"
"98",5,2,0,100,32,-35009.9446204234,1,"2"
"99",5,2,0,100,32,-8015.90973225405,1,"3"
"100",5,2,0,100,32,-4149.87439710027,1,"4"
"101",5,2,0,100,32,-13845.7461422292,1,"5"
"102",5,2,0,100,32,-7760.69657579547,1,"6"
"103",5,2,0,100,32,-41381.9601284645,1,"7"
"104",5,2,0,100,32,-138.259963981317,1,"8"
"105",5,2,0,100,32,-542.128401256783,1,"9"
"106",5,2,0,100,32,-15054.1204525431,1,"10"
"107",5,2,0,100,32,-17155.9232440366,1,"11"
"108",5,2,0,100,32,-804.561541638611,1,"12"
"109",5,2,0,100,32,-2071.44823098637,1,"13"
"110",5,2,0,100,32,-1065.13787440703,1,"14"
"111",5,2,0,100,32,-880.370601767001,1,"15"
"112",5,2,0,100,32,-128.971298895641,1,"16"
"113",5,2,0,100,32,-1466.24521606918,1,"17"
"114",5,2,0,100,32,-1351.2969112073,1,"18"
"115",5,2,0,100,32,-4093.24258935707,1,"19"
"116",5,2,0,100,32,-2373.77854220447,1,"20"
"117",5,2,0,100,32,-4421.50362588495,1,"21"
"118",5,2,0,100,32,-2281.55541857621,1,"22"
"119",5,2,0,100,32,-1948.06001320051,1,"23"
"120",5,2,0,100,32,-2.75353874921218,1,"24"
"121",5,2,0,100,32,-2349.65897448068,1,"25"
"122",5,2,0,100,32,-176.09606815276,1,"26"
"123",5,2,0,100,32,-976.112510410669,1,"27"
"124",5,2,0,100,32,-662.97502832514,1,"28"
