"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,31,-1863.72764082727,1,"1"
"2",2,2,0,100,31,-331.068439226902,1,"2"
"3",2,2,0,100,31,-409.61671278699,1,"3"
"4",2,2,0,100,31,-1357.37642340929,1,"4"
"5",2,2,0,100,31,-4013.97158517945,1,"5"
"6",2,2,0,100,31,-2197.70400148216,1,"6"
"7",2,2,0,100,31,-12042.2912066328,1,"7"
"8",2,2,0,100,31,-32599.1047855371,1,"8"
"9",2,2,0,100,31,-3569.00547349431,1,"9"
"10",2,2,0,100,31,-5500.99019801946,1,"10"
"11",2,2,0,100,31,-308.863059426206,1,"11"
"12",2,2,0,100,31,-38.876403222805,1,"12"
"13",2,2,0,100,31,-729.988268990978,1,"13"
"14",2,2,0,100,31,-552.838856583173,1,"14"
"15",2,2,0,100,31,-971.817822667342,1,"15"
"16",2,2,0,100,31,-620.785523029033,1,"16"
"17",2,2,0,100,31,-380.953426950954,1,"17"
"18",2,2,0,100,31,-612.947993430933,1,"18"
"19",2,2,0,100,31,-306.845379402353,1,"19"
"20",2,2,0,100,31,-1489.98227813822,1,"20"
"21",2,2,0,100,31,-2083.64606372516,1,"21"
"22",2,2,0,100,31,-1119.85710326055,1,"22"
"23",2,2,0,100,31,-2373.7381435035,1,"23"
"24",2,2,0,100,31,-1222.27958867457,1,"24"
"25",2,2,0,100,31,-4888.64174983155,1,"25"
"26",2,2,0,100,31,-936.086629452217,1,"26"
"27",2,2,0,100,31,-5673.92973264311,1,"27"
"28",2,2,0,100,31,-13586.6373329729,1,"28"
"29",2,2,0,100,31,-1023.89483622775,1,"29"
"30",2,2,0,100,31,-3199.96814003209,1,"30"
"31",2,2,0,100,31,-111.001925189501,1,"31"
"32",3,2,0,100,31,-1692.00581846287,1,"1"
"33",3,2,0,100,31,-354.422699307313,1,"2"
"34",3,2,0,100,31,-443.052905378013,1,"3"
"35",3,2,0,100,31,-1625.24228458585,1,"4"
"36",3,2,0,100,31,-4880.61508017235,1,"5"
"37",3,2,0,100,31,-2557.96777793375,1,"6"
"38",3,2,0,100,31,-12581.6077831896,1,"7"
"39",3,2,0,100,31,-33706.52460101,1,"8"
"40",3,2,0,100,31,-3662.37682038689,1,"9"
"41",3,2,0,100,31,-5465.80721060913,1,"10"
"42",3,2,0,100,31,-311.665985706574,1,"11"
"43",3,2,0,100,31,-39.934928026198,1,"12"
"44",3,2,0,100,31,-753.135975587618,1,"13"
"45",3,2,0,100,31,-529.350329183541,1,"14"
"46",3,2,0,100,31,-931.721649809231,1,"15"
"47",3,2,0,100,31,-569.126681333676,1,"16"
"48",3,2,0,100,31,-383.26208323651,1,"17"
"49",3,2,0,100,31,-654.662990545009,1,"18"
"50",3,2,0,100,31,-260.2787133595,1,"19"
"51",3,2,0,100,31,-1620.32292436472,1,"20"
"52",3,2,0,100,31,-2409.0019460072,1,"21"
"53",3,2,0,100,31,-1359.14808224852,1,"22"
"54",3,2,0,100,31,-2683.53250574544,1,"23"
"55",3,2,0,100,31,-1318.91638768943,1,"24"
"56",3,2,0,100,31,-4351.80226345584,1,"25"
"57",3,2,0,100,31,-974.802669656408,1,"26"
"58",3,2,0,100,31,-5660.07521855546,1,"27"
"59",3,2,0,100,31,-13859.4739393508,1,"28"
"60",3,2,0,100,31,-1030.91218858459,1,"29"
"61",3,2,0,100,31,-3221.34451644248,1,"30"
"62",3,2,0,100,31,-112.63045850693,1,"31"
"63",4,2,0,100,31,-1713.58961170234,1,"1"
"64",4,2,0,100,31,-436.462376113629,1,"2"
"65",4,2,0,100,31,-691.358894906014,1,"3"
"66",4,2,0,100,31,-3784.11563209334,1,"4"
"67",4,2,0,100,31,-8582.04966305512,1,"5"
